time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates
573888,1708,336.0,51431,6525.539570340001,11,2132.3780997140066,0.001,-477.3203361147926,573552
574224,1709,336.0,51457,6538.115874489999,11,2180.632695152646,0.001,-478.06304368518647,573888
574560,1710,336.0,51483,6559.63506908,11,2418.252912248884,0.001,-478.1904193333217,574224
574896,1711,336.0,51508,6571.684549599999,11,2309.7961146036782,0.001,-478.6075186956497,574560
575232,1712,336.0,51535,6502.46066504,11,2241.288855416434,0.001,-478.7991523742676,574896
575568,1713,336.0,51565,6527.05713205,11,2275.9786342439197,0.001,-479.12808463686986,575232
575904,1714,336.0,51592,6472.7045204000015,11,2233.4799975440615,0.001,-479.4805045354934,575568
576240,1715,336.0,51623,6471.642877460001,11,2353.1035377865746,0.001,-479.76062919980006,575904
576576,1716,336.0,51651,6443.22040742,11,2123.211834862119,0.001,-480.3074086507161,576240
576912,1717,336.0,51680,6450.028549769999,11,2269.8032024928502,0.001,-480.3623108636765,576576
577248,1718,336.0,51706,6459.431065149999,11,2169.5842148917063,0.001,-480.8395107814244,576912
577584,1719,336.0,51731,6467.371914689998,11,2376.6366293770925,0.001,-481.13021832420714,577248
577920,1720,336.0,51759,6475.583833879999,11,2528.580575670515,0.001,-481.718989054362,577584
578256,1721,336.0,51785,6462.715872539999,11,2268.649282364618,0.001,-481.74189376831055,577920
578592,1722,336.0,51812,6453.6619668799985,11,2338.5612471444265,0.001,-482.03057897658573,578256
578928,1723,336.0,51839,6436.268089549999,11,2390.0672527494885,0.001,-482.5328272864932,578592
579264,1724,336.0,51865,6419.44602476,11,2393.794899350121,0.001,-482.7557098751976,578928
579600,1725,336.0,51893,6407.06556392,11,2460.873658861433,0.001,-483.3325689406622,579264
579936,1726,336.0,51919,6440.778169290001,11,2176.8462989443824,0.001,-483.4998950049991,579600
580272,1727,336.0,51945,6389.616409940001,11,2282.9183582124256,0.001,-483.653260185605,579936
580608,1728,336.0,51972,6490.6314387600005,11,2266.7075511387416,0.001,-484.1538952418736,580272
580944,1729,336.0,51998,6499.84241595,11,2346.869782402402,0.001,-484.57337479364304,580608
581280,1730,336.0,52025,6486.82531186,11,2289.944168454125,0.001,-484.87339437575565,580944
581616,1731,336.0,52053,6486.535709059998,11,2249.845158168248,0.001,-485.0538141159784,581280
581952,1732,336.0,52079,6512.955908259999,11,2218.401262192499,0.001,-485.613155183338,581616
582288,1733,336.0,52104,6519.224102799997,11,2380.039561680385,0.001,-485.8720232645671,581952
582624,1734,336.0,52131,6533.856361799999,11,2500.4345846630276,0.001,-486.1418473379953,582288
582960,1735,336.0,52157,6538.9975736,11,2494.8793491181873,0.001,-486.55290821620395,582624
583296,1736,336.0,52184,6523.16220495,11,2340.6028376988,0.001,-486.57649939400807,582960
583632,1737,336.0,52210,6519.336139689999,11,2406.1275758289157,0.001,-487.10912304832823,583296
583968,1738,336.0,52235,6517.77335592,11,2621.931222643171,0.001,-487.36158498128253,583632
584304,1739,336.0,52262,6520.911530569999,11,2273.7020870390393,0.001,-487.73185493832545,583968
