time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20191225:0010,0.0,0.0,0.0,0.0,0.0,0.52,2.0,0.0
20191225:0110,0.0,0.0,0.0,0.0,0.0,0.45,2.0,0.0
20191225:0210,0.0,0.0,0.0,0.0,0.0,0.33,1.86,0.0
20191225:0310,0.0,0.0,0.0,0.0,0.0,0.2,1.86,0.0
20191225:0410,0.0,0.0,0.0,0.0,0.0,0.05,1.86,0.0
20191225:0510,0.0,0.0,0.0,0.0,0.0,-0.19,1.93,0.0
20191225:0610,0.0,0.0,0.0,0.0,0.0,-0.16,2.07,0.0
20191225:0710,2835000.0,0.0,45.15,0.96,9.92,-0.03,1.86,0.0
20191225:0810,8951000.0,10.3,103.15,2.24,16.81,0.06,1.72,0.0
20191225:0910,19298000.0,54.44,169.37,3.82,21.6,0.2,2.0,0.0
20191225:1010,25284000.0,87.89,199.72,4.63,23.8,0.59,2.69,0.0
20191225:1110,7125000.0,0.0,93.92,2.0,23.14,0.94,2.83,0.0
20191225:1210,44042000.0,311.7,183.63,5.4,19.72,1.13,2.62,0.0
20191225:1310,5498000.0,2.47,73.56,1.58,13.92,1.43,2.76,0.0
20191225:1410,1100000.0,0.0,23.48,0.5,6.25,1.37,2.41,0.0
20191225:1510,0.0,0.0,0.0,0.0,0.0,0.89,1.72,0.0
20191225:1610,0.0,0.0,0.0,0.0,0.0,0.76,1.66,0.0
20191225:1710,0.0,0.0,0.0,0.0,0.0,0.72,1.72,0.0
20191225:1810,0.0,0.0,0.0,0.0,0.0,0.59,1.72,0.0
20191225:1910,0.0,0.0,0.0,0.0,0.0,0.21,1.79,0.0
20191225:2010,0.0,0.0,0.0,0.0,0.0,0.22,1.59,0.0
20191225:2110,0.0,0.0,0.0,0.0,0.0,-0.09,1.38,0.0
20191225:2210,0.0,0.0,0.0,0.0,0.0,-0.47,1.31,0.0
20191225:2310,0.0,0.0,0.0,0.0,0.0,-0.73,1.31,0.0
20191226:0010,0.0,0.0,0.0,0.0,0.0,-1.46,1.31,0.0
20191226:0110,0.0,0.0,0.0,0.0,0.0,-0.98,1.38,0.0
20191226:0210,0.0,0.0,0.0,0.0,0.0,-0.55,1.38,0.0
20191226:0310,0.0,0.0,0.0,0.0,0.0,-0.31,1.59,0.0
20191226:0410,0.0,0.0,0.0,0.0,0.0,-0.21,1.52,0.0
20191226:0510,0.0,0.0,0.0,0.0,0.0,-0.54,1.45,0.0
20191226:0610,0.0,0.0,0.0,0.0,0.0,-0.31,1.52,0.0
20191226:0710,4946000.0,10.48,59.03,1.27,9.88,0.03,1.45,0.0
20191226:0810,7451000.0,5.15,92.11,1.99,16.79,0.37,2.07,0.0
20191226:0910,1580000.0,0.0,29.8,0.64,21.6,0.97,1.79,0.0
